Round;Wk;Day;Date;Time;Home;Score;Away;Attendance;Venue;Referee;Match Report;Notes
Regular season;1;Sat;28.07.2018;18:30:00;Ural;0–1;Anzhi;15,194;Stadion Central'nyj;Sergey Ivanov;Match Report;
Regular season;1;Sat;28.07.2018;19:00:00;Spartak Moscow;1–0;Orenburg;36,672;Otkrytie Arena;Roman;Match Report;
Regular season;1;Sat;28.07.2018;21:30:00;Rostov;1–0;Akhmat Grozny;27,975;Rostov Arena;Aleksey Sukhoy;Match Report;
Regular season;1;Sun;29.07.2018;16:30:00;Arsenal Tula;0–0;Dynamo Mosc;20,048;Stadion Arsenal;Stanislav Vasilyev;Match Report;
Regular season;1;Sun;29.07.2018;18:00:00;Yenisey;0–2;Zenit;10,724;Central'nyj Stadion;Vladimir Moskalev;Match Report;
Regular season;1;Sun;29.07.2018;19:00:00;Rubin Kazan;2–1;Krasnodar;13,884;Kazan Arena;Kirill Levnikov;Match Report;
Regular season;1;Mon;30.07.2018;20:00:00;Ufa;0–0;Loko Moscow;8,368;Stadion Neftyanik;Mikhail Vilkov;Match Report;
Regular season;1;Tue;31.07.2018;20:00:00;Samara;0–0;CSKA Moscow;39,137;Cosmos Arena;Sergey Lapochkin;Match Report;
Regular season;2;Fri;03.08.2018;19:30:00;Dynamo Mosc;1–1;Rubin Kazan;5,841;Arena Khimki;Pavel Kukuyan;Match Report;
Regular season;2;Sat;04.08.2018;14:00:00;Ural;1–2;Krasnodar;20,326;Stadion Akademii FK Krasnodar;Vasiliy Kazartsev;Match Report;
Regular season;2;Sat;04.08.2018;16:30:00;Zenit;1–0;Arsenal Tula;47,004;Gazprom Arena;Aleksey Matyunin;Match Report;
Regular season;2;Sat;04.08.2018;19:00:00;Loko Moscow;0–0;Spartak Moscow;22,027;RZD Arena;Vladimir Moskalev;Match Report;
Regular season;2;Sun;05.08.2018;17:30:00;Samara;0–3;Orenburg;22,93;Cosmos Arena;Vladislav Bezborodov;Match Report;
Regular season;2;Sun;05.08.2018;19:00:00;CSKA Moscow;0–1;Rostov;19,084;VEB Arena;Evgeny Turbin;Match Report;
Regular season;2;Sun;05.08.2018;21:30:00;Akhmat Grozny;1–0;Yenisey;14,823;Stadion im. Akhmat-Khaji Kadyrova;Aleksey Eskov;Match Report;
Regular season;2;Mon;06.08.2018;17:30:00;Ufa;3–0;Anzhi;5,612;Anzhi-Arena;Sergey Karasev;Match Report;
Regular season;3;Fri;10.08.2018;19:30:00;Ural;1–1;Dynamo Mosc;16,271;Stadion Central'nyj;Nikolay Voloshin;Match Report;
Regular season;3;Sat;11.08.2018;19:00:00;Spartak Moscow;1–0;Anzhi;27,856;Otkrytie Arena;Kirill Levnikov;Match Report;
