Столбец1;Wk;Day;Date;Time;Home;Score;Away;Столбец3;Столбец2;Referee;Столбец4;Notes
;1;Fri;23.07.2021;20:00:00;Rostov;0–2;Dynamo Mosc;;;Vladimir Moskalev;;
;1;Sat;24.07.2021;17:30:00;FC Khimki;1–3;Zenit;;;Evgeny Kukulyak;;
;1;Sat;24.07.2021;20:00:00;Rubin Kazan;1–0;Spartak Moscow;;;Vladislav Bezborodov;;
;1;Sat;24.07.2021;20:00:00;Loko Moscow;3–1;Arsenal Tula;;;Igor Panin;;
;1;Sun;25.07.2021;19:30:00;Ural;0–3;Krasnodar;;;Vasiliy Kazartsev;;
;1;Sun;25.07.2021;20:00:00;Samara;1–2;Akhmat Grozny;;;Kirill Levnikov;;
;1;Sun;25.07.2021;20:00:00;CSKA Moscow;1–0;Ufa;;;Sergey Ivanov;;
;1;Mon;26.07.2021;19:00:00;Nizhny Novgorod;1–0;Sochi;;;Pavel Shadykhanov;;
;2;Fri;30.07.2021;19:00:00;Arsenal Tula;0–3;Rubin Kazan;;;Sergey Ivanov;;
;2;Fri;30.07.2021;20:00:00;Samara;0–1;Spartak Moscow;;;Pavel Kukuyan;;
;2;Sat;31.07.2021;19:30:00;Ufa;2–3;Dynamo Mosc;;;Aleksey Sukhoy;;
;2;Sat;31.07.2021;20:00:00;CSKA Moscow;1–2;Loko Moscow;;;Aleksey Matyunin;;
;2;Sun;01.08.2021;19:30:00;Ural;1–1;Nizhny Novgorod;;;Aleksey Amelin;;
;2;Sun;01.08.2021;20:00:00;Rostov;2–4;Zenit;;;Vitaly Meshkov;;
;2;Sun;01.08.2021;20:00:00;Krasnodar;0–1;FC Khimki;;;Artem Lyubimov;;
;2;Mon;02.08.2021;20:00:00;Akhmat Grozny;1–2;Sochi;;;Ivan Sidenkov;;
;3;Fri;06.08.2021;19:00:00;Ufa;1–1;Loko Moscow;;;Ivan Sidenkov;;
;3;Sat;07.08.2021;17:00:00;Zenit;3–2;Krasnodar;;;Aleksey Amelin;;
;3;Sat;07.08.2021;17:30:00;Arsenal Tula;2–1;Samara;;;Evgeny Kukulyak;;
;3;Sat;07.08.2021;20:00:00;Spartak Moscow;1–2;Nizhny Novgorod;;;Aleksey Sukhoy;;
;3;Sun;08.08.2021;17:30:00;FC Khimki;1–1;Rostov;;;Pavel Shadykhanov;;
;3;Sun;08.08.2021;20:00:00;Dynamo Mosc;2–1;CSKA Moscow;;;Vladislav Bezborodov;;
;3;Sun;08.08.2021;20:00:00;Rubin Kazan;2–1;Akhmat Grozny;;;Pavel Kukuyan;;
;3;Mon;09.08.2021;20:00:00;Sochi;2–0;Ural;;;Kirill Levnikov;;
;4;Sat;14.08.2021;17:30:00;Spartak Moscow;1–0;Ural;;;Evgeny Kukulyak;;
;4;Sat;14.08.2021;17:30:00;Nizhny Novgorod;1–2;Ufa;;;Vasiliy Kazartsev;;
;4;Sat;14.08.2021;20:00:00;Akhmat Grozny;2–1;Dynamo Mosc;;;Sergey Ivanov;;
;4;Sat;14.08.2021;20:00:00;Rostov;1–3;CSKA Moscow;;;Kirill Levnikov;;
;4;Sun;15.08.2021;17:30:00;Loko Moscow;1–1;Zenit;;;Sergey Karasev;;
;4;Sun;15.08.2021;20:00:00;Krasnodar;3–2;Arsenal Tula;;;Pavel Shadykhanov;;
;4;Sun;15.08.2021;20:00:00;Rubin Kazan;1–1;Samara;;;Aleksey Sukhoy;;
;4;Mon;16.08.2021;19:00:00;Sochi;3–0;FC Khimki;;;Vladislav Bezborodov;;
