iter	MultiClass	Accuracy
0	1.084924136	0.5119266055
1	1.075534549	0.528440367
2	1.064352254	0.5412844037
3	1.055623715	0.5376146789
4	1.047425525	0.5486238532
5	1.040266644	0.5596330275
6	1.032455254	0.5614678899
7	1.024399182	0.5596330275
8	1.0174256	0.5541284404
9	1.012359996	0.5577981651
10	1.007848586	0.5688073394
11	1.003422973	0.5633027523
12	0.996564436	0.5633027523
13	0.9916015401	0.5577981651
14	0.9851290294	0.5688073394
15	0.9771504247	0.5779816514
16	0.9718452022	0.5798165138
17	0.9663413939	0.5853211009
18	0.9590434929	0.5981651376
19	0.9546238973	0.6055045872
20	0.9501455192	0.5981651376
21	0.9486683876	0.5963302752
22	0.945081594	0.6073394495
23	0.940926906	0.6091743119
24	0.9377874506	0.6036697248
25	0.9332989063	0.6018348624
26	0.9291644197	0.6036697248
27	0.9235316268	0.6165137615
28	0.9209739543	0.6165137615
29	0.9180249394	0.6146788991
30	0.915976761	0.6201834862
31	0.9131651357	0.6165137615
32	0.911371644	0.6165137615
33	0.9081192991	0.6165137615
34	0.9062119629	0.6165137615
35	0.9025006432	0.6146788991
36	0.8991622547	0.6220183486
37	0.8961526565	0.6293577982
38	0.892698661	0.6275229358
39	0.8898777745	0.623853211
40	0.8880287888	0.6293577982
41	0.8830638384	0.6403669725
42	0.8806015466	0.6348623853
43	0.8758627536	0.6366972477
44	0.8742874323	0.6403669725
45	0.8721992329	0.6495412844
46	0.8685250464	0.6623853211
47	0.8643379473	0.6568807339
48	0.8605829093	0.6568807339
49	0.8582522722	0.6568807339
50	0.8558467035	0.6642201835
51	0.8535159141	0.6623853211
52	0.8501329182	0.671559633
53	0.8477319034	0.6770642202
54	0.8455730357	0.6770642202
55	0.8417553257	0.6844036697
56	0.8375279887	0.6880733945
57	0.8328079565	0.6862385321
58	0.8254859109	0.695412844
59	0.8238926892	0.695412844
60	0.8191968044	0.704587156
61	0.8139948459	0.7174311927
62	0.8114214649	0.7247706422
63	0.8092875465	0.7229357798
64	0.8082798761	0.7229357798
65	0.8056562477	0.7357798165
66	0.8026372419	0.7302752294
67	0.799738482	0.7266055046
68	0.7968192354	0.7357798165
69	0.7947148801	0.7376146789
70	0.7922991463	0.7394495413
71	0.787020903	0.7486238532
72	0.7854630342	0.7504587156
73	0.7837055844	0.7577981651
74	0.7815156929	0.7577981651
75	0.7783171144	0.7614678899
76	0.7764850744	0.7633027523
77	0.7742201818	0.7614678899
78	0.7712266455	0.7614678899
79	0.7687768434	0.7633027523
80	0.7669382083	0.7651376147
81	0.764253569	0.7688073394
82	0.7616038115	0.7706422018
83	0.7563222379	0.7706422018
84	0.7532396384	0.7743119266
85	0.7503425277	0.7743119266
86	0.7475438335	0.7743119266
87	0.7465180514	0.776146789
88	0.742632928	0.7816513761
89	0.7387247933	0.7798165138
90	0.7370284062	0.7853211009
91	0.7354611377	0.7871559633
92	0.7334666257	0.7853211009
93	0.7308167903	0.7871559633
94	0.7282339637	0.7853211009
95	0.7263452646	0.7889908257
96	0.723853477	0.7853211009
97	0.7213248156	0.7889908257
98	0.7190118655	0.7853211009
99	0.7167373521	0.7944954128
100	0.7140710716	0.7944954128
101	0.7131216619	0.7963302752
102	0.7105042077	0.8055045872
103	0.7072177762	0.8128440367
104	0.7048511739	0.8073394495
105	0.7028686488	0.8128440367
106	0.7021310089	0.8091743119
107	0.7002885582	0.8073394495
108	0.6996851501	0.8055045872
109	0.6975358928	0.8055045872
110	0.6949460979	0.8
111	0.6940780261	0.8036697248
112	0.6915531803	0.8073394495
113	0.6897749418	0.8073394495
114	0.687496503	0.8128440367
115	0.6846237156	0.8146788991
116	0.6811804463	0.8220183486
117	0.678263599	0.8256880734
118	0.6761546403	0.823853211
119	0.6752390358	0.8293577982
120	0.6723482273	0.8311926606
121	0.6706136398	0.8330275229
122	0.6688582573	0.8366972477
123	0.6650543589	0.8275229358
124	0.6617578113	0.8256880734
125	0.6582690831	0.8366972477
126	0.6563613189	0.8403669725
127	0.6543466792	0.8403669725
128	0.6521801699	0.8458715596
129	0.6492684403	0.8495412844
130	0.6462672204	0.8495412844
131	0.6447379429	0.8532110092
132	0.6435270377	0.8532110092
133	0.6411194835	0.8513761468
134	0.6381760743	0.8513761468
135	0.6356617288	0.8550458716
136	0.6334282305	0.8550458716
137	0.6321617982	0.8550458716
138	0.6304870082	0.8587155963
139	0.6287669799	0.8568807339
140	0.6263381512	0.8568807339
141	0.6235937771	0.8605504587
142	0.6224728467	0.8605504587
143	0.6195829322	0.8642201835
144	0.618103246	0.8623853211
145	0.6152636219	0.8660550459
146	0.613743244	0.8678899083
147	0.612604201	0.8733944954
148	0.6117272633	0.871559633
149	0.6102824245	0.8733944954
150	0.6075841267	0.8788990826
151	0.6053982668	0.880733945
152	0.6028854856	0.880733945
153	0.6017464332	0.8825688073
154	0.5995720909	0.8825688073
155	0.5986575074	0.8825688073
156	0.5964794394	0.8825688073
157	0.5941091816	0.8862385321
158	0.5922688204	0.8880733945
159	0.5906524081	0.8899082569
160	0.5875164561	0.8935779817
161	0.5861988745	0.895412844
162	0.5854455101	0.8935779817
163	0.5841326698	0.8935779817
164	0.5832570161	0.895412844
165	0.581959533	0.895412844
166	0.5808738891	0.895412844
167	0.5780819366	0.895412844
168	0.5762386697	0.8990825688
169	0.5742501139	0.8990825688
170	0.5732929279	0.8990825688
171	0.5708226818	0.9027522936
172	0.5691562428	0.9027522936
173	0.566819947	0.904587156
174	0.5639912262	0.9027522936
175	0.5627573547	0.904587156
176	0.5611542445	0.9064220183
177	0.5595316388	0.9064220183
178	0.5581155373	0.9082568807
179	0.5558427843	0.9100917431
180	0.5543995602	0.9155963303
181	0.5529838874	0.9155963303
182	0.5511699059	0.919266055
183	0.5496902966	0.9211009174
184	0.5482631838	0.9211009174
185	0.5460111743	0.9229357798
186	0.5450362348	0.9229357798
187	0.5439718609	0.9247706422
188	0.5425257946	0.9247706422
189	0.5418474905	0.9247706422
190	0.5409789704	0.9247706422
191	0.5394314918	0.9321100917
192	0.5389268129	0.9302752294
193	0.5374056609	0.9321100917
194	0.5364864722	0.9321100917
195	0.5355066751	0.9302752294
196	0.5349419692	0.9302752294
197	0.5337876447	0.9302752294
198	0.5313609934	0.9339449541
199	0.5291325829	0.9376146789
200	0.5269731035	0.9357798165
201	0.525794327	0.9339449541
202	0.5245762159	0.9357798165
203	0.5229669976	0.9376146789
204	0.5215879301	0.9357798165
205	0.5207306398	0.9339449541
206	0.5199633768	0.9339449541
207	0.5189308246	0.9357798165
208	0.5170364138	0.9431192661
209	0.5150148763	0.9431192661
210	0.5130824237	0.9431192661
211	0.511964043	0.9394495413
212	0.5115060309	0.9376146789
213	0.5106065712	0.9376146789
214	0.5099994443	0.9394495413
215	0.5091618069	0.9431192661
216	0.5069217998	0.9412844037
217	0.5053787017	0.9431192661
218	0.5037133567	0.9449541284
219	0.5027600541	0.9431192661
220	0.5014971566	0.9449541284
221	0.4990637657	0.9449541284
222	0.4983531172	0.9449541284
223	0.4977362992	0.9449541284
224	0.4968981081	0.9449541284
225	0.4963603752	0.9467889908
226	0.4956537094	0.9486238532
227	0.4948067426	0.9486238532
228	0.4930699312	0.9467889908
229	0.4916225553	0.9449541284
230	0.4911076935	0.9431192661
231	0.4903782392	0.9449541284
232	0.4883502373	0.9467889908
233	0.4866742728	0.9504587156
234	0.4848347425	0.9541284404
235	0.4829097015	0.9541284404
236	0.4823504344	0.9559633028
237	0.481191789	0.9559633028
238	0.4804041505	0.9541284404
239	0.479253393	0.9541284404
240	0.4785896788	0.9541284404
241	0.4770346849	0.9541284404
242	0.4764534916	0.9559633028
243	0.4750422371	0.9559633028
244	0.473945954	0.9596330275
245	0.4725364204	0.9577981651
246	0.4710939074	0.9577981651
247	0.4694361842	0.9614678899
248	0.4681347524	0.9614678899
249	0.467244503	0.9596330275
250	0.465962058	0.9596330275
251	0.4654969196	0.9596330275
252	0.4638585322	0.9633027523
253	0.4620030721	0.9614678899
254	0.4604446958	0.9614678899
255	0.4600475494	0.9614678899
256	0.4589313249	0.9614678899
257	0.4583939927	0.9633027523
258	0.4575601304	0.9651376147
259	0.4569525479	0.9651376147
260	0.4560034144	0.9669724771
261	0.454213661	0.9688073394
262	0.4524625764	0.9688073394
263	0.4511966673	0.9688073394
264	0.449127422	0.9688073394
265	0.4479389325	0.9669724771
266	0.4460094185	0.9688073394
267	0.4448369932	0.9706422018
268	0.4441709179	0.9706422018
269	0.4430362888	0.9706422018
270	0.4421500165	0.9688073394
271	0.4410642399	0.9688073394
272	0.4400825167	0.9688073394
273	0.4381507953	0.9724770642
274	0.4365835097	0.9724770642
275	0.4347748991	0.9743119266
276	0.4339218932	0.9724770642
277	0.4322588265	0.9743119266
278	0.4312684782	0.9724770642
279	0.4302280801	0.976146789
280	0.4286815714	0.976146789
281	0.4273883086	0.976146789
282	0.426708748	0.9779816514
283	0.425094362	0.976146789
284	0.4235132453	0.976146789
285	0.4232291288	0.976146789
286	0.4217368569	0.9779816514
287	0.4203823406	0.9798165138
288	0.418538438	0.9798165138
289	0.4171785955	0.9798165138
290	0.416373052	0.9816513761
291	0.4156779521	0.9798165138
292	0.4148891764	0.9798165138
293	0.4137224838	0.9798165138
294	0.4126504154	0.9816513761
295	0.4118599016	0.9798165138
296	0.4102650918	0.9816513761
297	0.4093403166	0.9816513761
298	0.408645654	0.9816513761
299	0.407560806	0.9816513761
300	0.4059471083	0.9816513761
301	0.4045764743	0.9816513761
302	0.4037277419	0.9816513761
303	0.4032828096	0.9816513761
304	0.4021687409	0.9816513761
305	0.4008315251	0.9834862385
306	0.400104659	0.9816513761
307	0.3996647872	0.9816513761
308	0.3987222543	0.9816513761
309	0.3975707881	0.9816513761
310	0.3963541231	0.9816513761
311	0.3955731056	0.9834862385
312	0.3946419665	0.9816513761
313	0.393516568	0.9853211009
314	0.3926278455	0.9853211009
315	0.3918823304	0.9834862385
316	0.3906922195	0.9853211009
317	0.3898939763	0.9853211009
318	0.3891243787	0.9853211009
319	0.3882858325	0.9853211009
320	0.3875014776	0.9853211009
321	0.3864296969	0.9853211009
322	0.3857969259	0.9853211009
323	0.384850634	0.9853211009
324	0.3841313297	0.9853211009
325	0.3822752948	0.9871559633
326	0.3809945927	0.9853211009
327	0.3798903432	0.9889908257
328	0.3794406726	0.9871559633
329	0.3785094478	0.9871559633
330	0.3775200797	0.9871559633
331	0.3767760833	0.9853211009
332	0.3762622746	0.9871559633
333	0.3755114917	0.9816513761
334	0.375076794	0.9853211009
335	0.3745631302	0.9853211009
