iter	MultiClass	Accuracy
0	1.087984251	0.4765395894
1	1.080329398	0.4736070381
2	1.074154426	0.4838709677
3	1.068376557	0.4765395894
4	1.064201033	0.4736070381
5	1.05946432	0.4750733138
6	1.056147771	0.4750733138
7	1.050708458	0.4794721408
8	1.047609354	0.4926686217
9	1.044475749	0.4824046921
10	1.039779884	0.4985337243
11	1.036948952	0.5
12	1.035519202	0.495601173
13	1.034342538	0.5014662757
14	1.031469615	0.4970674487
15	1.028381979	0.5029325513
16	1.025804026	0.5014662757
17	1.021035259	0.4985337243
18	1.018153394	0.5058651026
19	1.014995763	0.5102639296
20	1.012589943	0.508797654
21	1.010965726	0.5073313783
22	1.009580946	0.5058651026
23	1.007183028	0.5058651026
24	1.004894989	0.508797654
25	1.003566794	0.508797654
26	1.002211332	0.508797654
27	1.000826377	0.508797654
28	0.9990903666	0.5131964809
29	0.9975158527	0.5146627566
30	0.9956313601	0.5175953079
31	0.9926080223	0.5190615836
32	0.9918181097	0.5205278592
33	0.9906910832	0.5234604106
34	0.990574466	0.5234604106
35	0.9896409173	0.5175953079
36	0.9888666656	0.5190615836
37	0.9886104882	0.5205278592
38	0.9880613055	0.5190615836
39	0.9856397557	0.5219941349
40	0.9850382094	0.5205278592
41	0.9845991593	0.5234604106
42	0.9823938963	0.5234604106
43	0.9815307657	0.5293255132
44	0.9806891611	0.5249266862
45	0.9793235266	0.5278592375
46	0.9787142464	0.5249266862
47	0.977737705	0.5307917889
48	0.9765615241	0.5307917889
49	0.9759334181	0.5307917889
50	0.9752780697	0.5337243402
51	0.9740392279	0.5278592375
52	0.9723620594	0.5322580645
53	0.9706580655	0.5351906158
54	0.969894658	0.5381231672
55	0.9697798584	0.5381231672
56	0.9687909714	0.5337243402
57	0.9681231846	0.5381231672
58	0.967091546	0.5381231672
59	0.9655797777	0.5381231672
60	0.9654401041	0.5395894428
61	0.9646233219	0.5395894428
62	0.9640746696	0.5425219941
63	0.9630796644	0.5454545455
64	0.9620803645	0.5439882698
65	0.9612269601	0.5439882698
66	0.9600084261	0.5425219941
67	0.9589397582	0.5410557185
68	0.9586084346	0.5410557185
69	0.9576754303	0.5425219941
70	0.9571964601	0.5425219941
71	0.9567528827	0.5410557185
72	0.9548542748	0.5469208211
73	0.952615281	0.5498533724
74	0.9523742886	0.5498533724
75	0.9511349984	0.5527859238
76	0.9496124447	0.5513196481
77	0.9478454211	0.5483870968
78	0.9470360288	0.5557184751
79	0.9463191796	0.5571847507
80	0.9457396507	0.5586510264
81	0.9444147154	0.5571847507
82	0.9424417602	0.5601173021
83	0.9406219397	0.5571847507
84	0.9391163448	0.5557184751
85	0.9388532406	0.5557184751
86	0.9379846572	0.564516129
87	0.936851131	0.5659824047
88	0.9358034003	0.5674486804
89	0.9339332269	0.568914956
90	0.9332352314	0.5718475073
91	0.9328950707	0.5718475073
92	0.9316925157	0.5747800587
93	0.9306949056	0.5762463343
94	0.9300092729	0.5762463343
