iter	Passed	Remaining
0	0	76
1	1	77
2	2	67
3	2	59
4	2	54
5	3	52
6	3	49
7	4	46
8	4	44
9	4	42
10	5	41
11	5	39
12	5	37
13	5	36
14	6	35
15	6	34
16	6	33
17	7	32
18	7	32
19	7	31
20	8	30
21	8	30
22	8	29
23	9	28
24	9	27
25	9	27
26	9	26
27	10	25
28	10	25
29	10	24
30	10	24
31	11	23
32	11	23
33	11	23
34	12	22
35	12	22
36	12	22
37	13	21
38	13	21
39	14	21
40	15	21
41	15	21
42	16	21
43	16	21
44	16	20
45	17	20
46	17	19
47	17	19
48	18	18
49	18	18
50	18	17
51	18	17
52	19	17
53	19	16
54	19	16
55	20	15
56	20	15
57	20	14
58	20	14
59	21	14
60	21	13
61	21	13
62	21	12
63	22	12
64	22	12
65	22	11
66	23	11
67	23	11
68	23	10
69	25	10
70	25	10
71	25	10
72	26	9
73	26	9
74	26	8
75	27	8
76	27	8
77	27	7
78	28	7
79	28	7
80	28	6
81	29	6
82	29	5
83	29	5
84	29	5
85	30	4
86	30	4
87	30	4
88	31	3
89	31	3
90	31	3
91	32	2
92	32	2
93	32	2
94	32	1
95	32	1
96	33	1
97	33	0
98	33	0
99	33	0
